Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
63,,CREDIT,Candy ,Candy ,5.00,43.29,,8/25/25 8:45 AM,8/25/25 8:42 AM
70,,CASH,Ivana,Ivana,0.00,3.78,Front Left,8/25/25 8:46 AM,8/25/25 8:46 AM
65,,CREDIT,Candy ,Candy ,2.00,2.70,,8/25/25 8:47 AM,8/25/25 8:45 AM
68,,CREDIT,Candy ,Candy ,2.00,8.11,,8/25/25 8:48 AM,8/25/25 8:46 AM
71,,CREDIT,Candy ,Candy ,2.00,5.81,,8/25/25 8:50 AM,8/25/25 8:47 AM
73,,CREDIT,Candy ,Candy ,2.00,22.26,,8/25/25 8:53 AM,8/25/25 8:48 AM
75,,CREDIT,Candy ,Candy ,0.00,12.92,,8/25/25 8:54 AM,8/25/25 8:50 AM
82,,CASH,Ivana,Ivana,0.00,5.39,Front Left,8/25/25 8:56 AM,8/25/25 8:56 AM
79,,CREDIT,Candy ,Candy ,0.00,6.24,,8/25/25 8:56 AM,8/25/25 8:53 AM
83,,CREDIT,Ivana,Ivana,1.00,12.95,,8/25/25 8:57 AM,8/25/25 8:57 AM
84,,CREDIT,Candy ,Candy ,2.00,30.88,,8/25/25 9:00 AM,8/25/25 8:57 AM
85,,CREDIT,Candy ,Candy ,0.00,8.21,,8/25/25 9:02 AM,8/25/25 8:58 AM
90,,CREDIT,Candy ,Candy ,0.00,21.08,,8/25/25 9:05 AM,8/25/25 9:03 AM
91,,CREDIT,Candy ,Candy ,0.00,4.31,,8/25/25 9:10 AM,8/25/25 9:04 AM
93,,CASH,Candy ,Candy ,0.00,6.47,Drive Box,8/25/25 9:12 AM,8/25/25 9:07 AM
94,,CASH,Candy ,Candy ,0.00,11.08,Drive Box,8/25/25 9:13 AM,8/25/25 9:07 AM
67,,CASH,Maria,Maria,0.00,7.45,,8/25/25 9:16 AM,8/25/25 8:46 AM
96,,CREDIT,Candy ,Candy ,0.00,8.04,,8/25/25 9:17 AM,8/25/25 9:10 AM
104,,CREDIT,Ivana,Ivana,0.00,10.80,,8/25/25 9:18 AM,8/25/25 9:17 AM
