Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
1,,CREDIT,Martina,Martina,0.00,5.39,,8/25/25 6:03 AM,8/25/25 6:01 AM
2,,CASH,Martina,Martina,0.00,15.10,Drive Thru Cash Drawer,8/25/25 6:10 AM,8/25/25 6:06 AM
4,,CREDIT,Martina,Martina,0.00,9.71,,8/25/25 6:14 AM,8/25/25 6:13 AM
3,,CREDIT,Martina,Martina,0.00,8.04,,8/25/25 6:19 AM,8/25/25 6:16 AM
5,,CASH,Martina,Martina,0.00,2.15,Drive Thru Cash Drawer,8/25/25 6:20 AM,8/25/25 6:16 AM
7,,CASH,Martina,Martina,0.00,2.15,Drive Thru Cash Drawer,8/25/25 6:20 AM,8/25/25 6:18 AM
8,,CREDIT,Martina,Martina,0.00,6.47,,8/25/25 6:21 AM,8/25/25 6:20 AM
10,,CREDIT,Martina,Martina,2.00,3.02,,8/25/25 6:27 AM,8/25/25 6:26 AM
12,,CASH,Martina,Martina,0.00,6.46,Drive Thru Cash Drawer,8/25/25 6:28 AM,8/25/25 6:26 AM
13,,CREDIT,Martina,Martina,0.00,5.39,,8/25/25 6:29 AM,8/25/25 6:27 AM
6,,CREDIT,Martina,Martina,0.00,8.62,,8/25/25 6:35 AM,8/25/25 6:32 AM
15,,CREDIT,Martina,Martina,0.00,4.30,,8/25/25 6:36 AM,8/25/25 6:35 AM
18,,CASH,AM,AM,0.00,4.63,Front Box Cash Drawer,8/25/25 6:43 AM,8/25/25 6:43 AM
16,,CASH,Martina,Martina,0.00,10.04,Drive Thru Cash Drawer,8/25/25 6:44 AM,8/25/25 6:42 AM
9,,CASH,Sami,AM,0.00,16.00,Front Box Cash Drawer,8/25/25 6:51 AM,8/25/25 6:27 AM
20,,CREDIT,Martina,Martina,0.00,6.46,,8/25/25 6:54 AM,8/25/25 6:54 AM
17,,CASH,Martina,Martina,0.00,2.15,Drive Thru Cash Drawer,8/25/25 7:01 AM,8/25/25 7:00 AM
24,,CREDIT,AM,AM,1.00,5.72,,8/25/25 7:06 AM,8/25/25 7:06 AM
21,,CREDIT,Martina,Martina,0.00,13.57,,8/25/25 7:07 AM,8/25/25 7:05 AM
22,,CASH,Martina,Martina,0.00,11.25,Drive Thru Cash Drawer,8/25/25 7:09 AM,8/25/25 7:05 AM
23,,CREDIT,Martina,Martina,0.00,14.48,,8/25/25 7:11 AM,8/25/25 7:06 AM
27,,CASH,Martina,Martina,0.00,4.63,Drive Thru Cash Drawer,8/25/25 7:14 AM,8/25/25 7:10 AM
29,,CREDIT,Martina,Martina,0.00,11.76,,8/25/25 7:15 AM,8/25/25 7:12 AM
31,,CREDIT,Martina,Martina,0.00,8.90,,8/25/25 7:18 AM,8/25/25 7:14 AM
32,,CASH,Martina,Martina,0.00,5.39,Drive Thru Cash Drawer,8/25/25 7:19 AM,8/25/25 7:16 AM
33,,CREDIT,Martina,Martina,0.00,8.62,,8/25/25 7:19 AM,8/25/25 7:19 AM
26,,CASH,AM,AM,0.00,14.08,Front Box Cash Drawer,8/25/25 7:24 AM,8/25/25 7:24 AM
35,,CASH,AM,AM,0.00,2.15,Front Box Cash Drawer,8/25/25 7:25 AM,8/25/25 7:25 AM
25,,CASH,AM,AM,0.00,4.31,Front Box Cash Drawer,8/25/25 7:25 AM,8/25/25 7:11 AM
19,12,CREDIT,Sami,AM,5.00,10.55,,8/25/25 7:27 AM,8/25/25 6:51 AM
36,,CREDIT,Martina,Martina,0.00,8.11,,8/25/25 7:27 AM,8/25/25 7:25 AM
38,,CASH,AM,AM,0.00,4.31,Front Box Cash Drawer,8/25/25 7:29 AM,8/25/25 7:29 AM
30,,CREDIT,Martina,Martina,1.00,4.63,,8/25/25 7:33 AM,8/25/25 7:32 AM
40,,CASH,AM,AM,0.00,7.72,Front Box Cash Drawer,8/25/25 7:33 AM,8/25/25 7:33 AM
41,,CREDIT,Martina,Martina,0.00,9.87,,8/25/25 7:35 AM,8/25/25 7:34 AM
42,,CASH,Martina,Martina,0.00,4.31,Drive Thru Cash Drawer,8/25/25 7:38 AM,8/25/25 7:37 AM
43,,CASH,Martina,Martina,0.00,4.31,Drive Thru Cash Drawer,8/25/25 7:39 AM,8/25/25 7:38 AM
47,,CREDIT,AM,AM,0.00,5.12,,8/25/25 7:43 AM,8/25/25 7:43 AM
44,,CREDIT,Martina,Martina,0.00,14.58,,8/25/25 7:43 AM,8/25/25 7:39 AM
45,,CREDIT,Martina,Martina,0.00,6.97,,8/25/25 7:44 AM,8/25/25 7:40 AM
48,,CASH,AM,AM,0.00,2.15,Front Box Cash Drawer,8/25/25 7:45 AM,8/25/25 7:44 AM
