Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
1,,CREDIT,Daniela,Daniela,0.00,6.47,,8/6/25 6:31 AM,8/6/25 6:31 AM
2,,CREDIT,Daniela,Daniela,0.00,27.93,,8/6/25 6:36 AM,8/6/25 6:33 AM
3,,CASH,Daniela,Daniela,0.00,4.31,,8/6/25 6:38 AM,8/6/25 6:33 AM
4,,CREDIT,Daniela,Daniela,2.00,9.38,,8/6/25 6:39 AM,8/6/25 6:34 AM
5,,CREDIT,Daniela,Daniela,0.00,4.85,,8/6/25 6:40 AM,8/6/25 6:38 AM
6,,CREDIT,Daniela,Daniela,0.00,9.05,,8/6/25 6:43 AM,8/6/25 6:41 AM
7,,CREDIT,Daniela,Daniela,0.00,7.54,,8/6/25 6:45 AM,8/6/25 6:43 AM
8,,CREDIT,Daniela,Daniela,0.00,10.11,,8/6/25 6:46 AM,8/6/25 6:46 AM
10,,CREDIT,Daniela,Daniela,0.00,23.70,,8/6/25 6:54 AM,8/6/25 6:53 AM
11,,CASH,Daniela,Daniela,0.00,8.41,,8/6/25 6:58 AM,8/6/25 6:58 AM
13,,CREDIT,Daniela,Daniela,0.00,4.31,,8/6/25 7:02 AM,8/6/25 7:02 AM
9,,CREDIT,Norma,Norma,8.00,43.08,,8/6/25 7:05 AM,8/6/25 6:52 AM
15,,CREDIT,Daniela,Daniela,0.00,6.45,,8/6/25 7:11 AM,8/6/25 7:11 AM
16,,CREDIT,Daniela,Daniela,1.00,8.63,,8/6/25 7:13 AM,8/6/25 7:12 AM
17,,CREDIT,Daniela,Daniela,2.00,5.40,,8/6/25 7:15 AM,8/6/25 7:13 AM
20,,CREDIT,Daniela,Daniela,0.00,38.94,,8/6/25 7:17 AM,8/6/25 7:17 AM
19,,CREDIT,Daniela,Daniela,0.00,9.17,,8/6/25 7:18 AM,8/6/25 7:16 AM
23,,CASH,Daniela,Daniela,0.00,3.24,,8/6/25 7:19 AM,8/6/25 7:18 AM
