Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
2,,CREDIT,PM Cashier,PM Cashier,0.00,4.31,,9/11/25 6:01 AM,9/11/25 6:00 AM
3,,CREDIT,PM Cashier,PM Cashier,0.00,4.31,,9/11/25 6:06 AM,9/11/25 6:00 AM
4,,CREDIT,PM Cashier,PM Cashier,0.00,29.00,,9/11/25 6:07 AM,9/11/25 6:05 AM
7,,CREDIT,Maria ,Maria ,2.00,31.31,,9/11/25 6:12 AM,9/11/25 6:12 AM
8,,CREDIT,Maria ,Maria ,4.00,13.32,,9/11/25 6:12 AM,9/11/25 6:12 AM
6,,CASH,PM Cashier,PM Cashier,0.00,15.10,Drive Thru Cash Drawer,9/11/25 6:13 AM,9/11/25 6:07 AM
5,,CASH,PM Cashier,PM Cashier,0.00,2.15,Drive Thru Cash Drawer,9/11/25 6:14 AM,9/11/25 6:08 AM
10,,CREDIT,Maria ,Maria ,0.00,8.36,,9/11/25 6:15 AM,9/11/25 6:15 AM
11,,CASH,PM Cashier,PM Cashier,0.00,4.63,Drive Thru Cash Drawer,9/11/25 6:17 AM,9/11/25 6:15 AM
14,,CASH,PM Cashier,PM Cashier,0.00,2.15,Drive Thru Cash Drawer,9/11/25 6:19 AM,9/11/25 6:16 AM
13,,CASH,PM Cashier,PM Cashier,0.00,4.31,Drive Thru Cash Drawer,9/11/25 6:19 AM,9/11/25 6:18 AM
15,,CASH,PM Cashier,PM Cashier,0.00,16.50,Drive Thru Cash Drawer,9/11/25 6:23 AM,9/11/25 6:22 AM
16,,CASH,PM Cashier,PM Cashier,0.00,6.46,Drive Thru Cash Drawer,9/11/25 6:28 AM,9/11/25 6:23 AM
18,,CREDIT,PM Cashier,PM Cashier,0.00,3.78,,9/11/25 6:29 AM,9/11/25 6:24 AM
19,,CASH,PM Cashier,PM Cashier,0.00,10.06,Drive Thru Cash Drawer,9/11/25 6:31 AM,9/11/25 6:26 AM
21,,CASH,PM Cashier,PM Cashier,0.00,10.77,Drive Thru Cash Drawer,9/11/25 6:35 AM,9/11/25 6:29 AM
20,,CREDIT,PM Cashier,PM Cashier,0.00,38.75,,9/11/25 6:37 AM,9/11/25 6:33 AM
