Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
1,,CASH,Daniela,Daniela,0.00,4.31,,8/7/25 6:34 AM,8/7/25 6:33 AM
2,,CREDIT,Daniela,Daniela,0.00,12.41,,8/7/25 6:36 AM,8/7/25 6:34 AM
3,,CREDIT,Daniela,Daniela,0.00,7.99,,8/7/25 6:38 AM,8/7/25 6:34 AM
4,,CREDIT,Daniela,Daniela,0.00,8.73,,8/7/25 6:39 AM,8/7/25 6:35 AM
5,,CASH,Daniela,Daniela,0.00,3.02,,8/7/25 6:40 AM,8/7/25 6:37 AM
6,,CREDIT,Daniela,Daniela,0.00,7.75,,8/7/25 6:41 AM,8/7/25 6:38 AM
7,,CREDIT,Daniela,Daniela,0.00,9.71,,8/7/25 6:42 AM,8/7/25 6:41 AM
8,,CREDIT,Daniela,Daniela,2.00,4.09,,8/7/25 6:43 AM,8/7/25 6:41 AM
9,,CASH,Daniela,Daniela,0.00,9.95,,8/7/25 6:45 AM,8/7/25 6:42 AM
12,,CREDIT,Daniela,Daniela,0.00,4.85,,8/7/25 6:50 AM,8/7/25 6:49 AM
13,,CREDIT,Daniela,Daniela,0.00,7.02,,8/7/25 6:52 AM,8/7/25 6:50 AM
14,,CASH,Daniela,Daniela,0.00,4.31,,8/7/25 6:54 AM,8/7/25 6:52 AM
15,,CASH,Daniela,Daniela,0.00,2.15,,8/7/25 6:54 AM,8/7/25 6:53 AM
18,,CASH,Daniela,Daniela,0.00,10.79,,8/7/25 6:59 AM,8/7/25 6:58 AM
19,,CREDIT,Daniela,Daniela,0.00,24.46,,8/7/25 7:03 AM,8/7/25 6:58 AM
20,,CREDIT,Daniela,Daniela,0.00,7.98,,8/7/25 7:05 AM,8/7/25 7:00 AM
21,,CREDIT,Daniela,Daniela,0.00,8.19,,8/7/25 7:07 AM,8/7/25 7:02 AM
22,,CASH,Daniela,Daniela,0.00,12.50,,8/7/25 7:08 AM,8/7/25 7:02 AM
23,,CREDIT,Daniela,Daniela,0.00,7.77,,8/7/25 7:10 AM,8/7/25 7:03 AM
24,,CREDIT,Daniela,Daniela,0.00,9.58,,8/7/25 7:11 AM,8/7/25 7:06 AM
25,,CREDIT,Daniela,Daniela,0.00,4.85,,8/7/25 7:13 AM,8/7/25 7:07 AM
27,,CASH,Daniela,Daniela,0.00,3.78,,8/7/25 7:15 AM,8/7/25 7:12 AM
17,,CREDIT,Daniela,Daniela,0.00,69.95,,8/7/25 7:17 AM,8/7/25 6:59 AM
28,,CASH,Daniela,Daniela,0.00,33.96,,8/7/25 7:20 AM,8/7/25 7:15 AM
29,,CREDIT,Daniela,Daniela,0.00,6.69,,8/7/25 7:22 AM,8/7/25 7:15 AM
30,,CREDIT,Daniela,Daniela,0.00,3.88,,8/7/25 7:22 AM,8/7/25 7:16 AM
31,,CREDIT,Daniela,Daniela,1.00,7.98,,8/7/25 7:23 AM,8/7/25 7:16 AM
