Order #,Opened Date,Void Date,Server,Approver,Item Name,Reason,Item Quantity,Total Price
263,10/18/25 12:44 PM,10/18/25 12:48 PM,Cin Cin,AM CASHIER,ChickenFajita Taco,Customer Changed Mind,1.0,4.74
263,10/18/25 12:44 PM,10/18/25 12:48 PM,Cin Cin,AM CASHIER,-------------,Customer Changed Mind,1.0,0.00
263,10/18/25 12:44 PM,10/18/25 12:48 PM,Cin Cin,AM CASHIER,bean and cheese,Customer Changed Mind,1.0,1.79
263,10/18/25 12:44 PM,10/18/25 12:48 PM,Cin Cin,AM CASHIER,Papa & Egg Taco,Customer Changed Mind,1.0,1.99
289,10/18/25 1:30 PM,10/18/25 2:04 PM,AM CASHIER,AM CASHIER,Enchiladas Verdes,86ed,1.0,12.99
289,10/18/25 1:30 PM,10/18/25 2:04 PM,AM CASHIER,AM CASHIER,Huevos Ranchero Plate,86ed,1.0,9.74
